N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered,contagious_percentage,ill_percentage,death_percentage,avg_iterations_to_die,diff_contage,diff_deaths,sum_of_diffs
3000,0.15,0.35,5,1280,1720,1720,547,1173,0.57,0.57,0.18,4.17,520,337,857
3000,0.15,0.35,6,1339,1661,1661,583,1078,0.55,0.55,0.19,4.66,461,373,834
3000,0.15,0.4,3,336,2664,2664,425,2239,0.89,0.89,0.14,3.1,1464,215,1679
3000,0.15,0.4,4,331,2669,2669,613,2056,0.89,0.89,0.2,3.66,1469,403,1872
3000,0.15,0.4,5,286,2714,2714,832,1882,0.9,0.9,0.28,4.2,1514,622,2136
3000,0.15,0.4,6,317,2683,2683,977,1706,0.89,0.89,0.33,4.68,1483,767,2250
3000,0.15,0.45,3,293,2707,2707,436,2271,0.9,0.9,0.15,3.13,1507,226,1733
3000,0.15,0.45,4,352,2648,2648,599,2049,0.88,0.88,0.2,3.66,1448,389,1837
3000,0.15,0.45,5,317,2683,2683,837,1846,0.89,0.89,0.28,4.2,1483,627,2110
3000,0.15,0.45,6,348,2652,2652,958,1694,0.88,0.88,0.32,4.67,1452,748,2200
3000,0.15,0.5,3,101,2899,2899,452,2447,0.97,0.97,0.15,3.06,1699,242,1941
3000,0.15,0.5,4,90,2910,2910,655,2255,0.97,0.97,0.22,3.72,1710,445,2155
3000,0.15,0.5,5,104,2896,2896,876,2020,0.97,0.97,0.29,4.14,1696,666,2362
3000,0.15,0.5,6,77,2923,2923,1100,1823,0.97,0.97,0.37,4.71,1723,890,2613
3000,0.15,0.55,3,29,2971,2971,551,2420,0.99,0.99,0.18,3.08,1771,341,2112
3000,0.15,0.55,4,42,2958,2958,663,2295,0.99,0.99,0.22,3.69,1758,453,2211
3000,0.15,0.55,5,36,2964,2964,876,2088,0.99,0.99,0.29,4.19,1764,666,2430
3000,0.15,0.55,6,37,2963,2963,1068,1895,0.99,0.99,0.36,4.69,1763,858,2621
3000,0.15,0.6,3,12,2988,2988,557,2431,1.0,1.0,0.19,3.15,1788,347,2135
3000,0.15,0.6,4,11,2989,2989,744,2245,1.0,1.0,0.25,3.7,1789,534,2323
3000,0.15,0.6,5,14,2986,2986,892,2094,1.0,1.0,0.3,4.15,1786,682,2468
3000,0.15,0.6,6,16,2984,2984,1117,1867,0.99,0.99,0.37,4.63,1784,907,2691
3000,0.2,0.3,3,2994,6,6,4,2,0.0,0.0,0.0,3.75,1194,206,1400
3000,0.2,0.3,4,2992,8,8,2,6,0.0,0.0,0.0,4.5,1192,208,1400
3000,0.2,0.3,5,2998,2,2,1,1,0.0,0.0,0.0,3.0,1198,209,1407
3000,0.2,0.3,6,2997,3,3,1,2,0.0,0.0,0.0,5.0,1197,209,1406
3000,0.2,0.35,3,746,2254,2254,428,1826,0.75,0.75,0.14,3.08,1054,218,1272
3000,0.2,0.35,4,818,2182,2182,581,1601,0.73,0.73,0.19,3.61,982,371,1353
3000,0.2,0.35,5,814,2186,2186,783,1403,0.73,0.73,0.26,4.07,986,573,1559
3000,0.2,0.35,6,777,2223,2223,945,1278,0.74,0.74,0.32,4.7,1023,735,1758
3000,0.2,0.4,3,839,2161,2161,415,1746,0.72,0.72,0.14,3.14,961,205,1166
3000,0.2,0.4,4,823,2177,2177,582,1595,0.73,0.73,0.19,3.63,977,372,1349
3000,0.2,0.4,5,869,2131,2131,760,1371,0.71,0.71,0.25,4.1,931,550,1481
3000,0.2,0.4,6,730,2270,2270,894,1376,0.76,0.76,0.3,4.59,1070,684,1754
3000,0.2,0.45,3,800,2200,2200,441,1759,0.73,0.73,0.15,3.05,1000,231,1231
3000,0.2,0.45,4,794,2206,2206,611,1595,0.74,0.74,0.2,3.51,1006,401,1407
3000,0.2,0.45,5,823,2177,2177,753,1424,0.73,0.73,0.25,4.03,977,543,1520
3000,0.2,0.45,6,759,2241,2241,928,1313,0.75,0.75,0.31,4.53,1041,718,1759
3000,0.2,0.5,3,127,2873,2873,598,2275,0.96,0.96,0.2,3.11,1673,388,2061
3000,0.2,0.5,4,164,2836,2836,842,1994,0.95,0.95,0.28,3.67,1636,632,2268
3000,0.2,0.5,5,164,2836,2836,1003,1833,0.95,0.95,0.33,4.02,1636,793,2429
3000,0.2,0.5,6,152,2848,2848,1201,1647,0.95,0.95,0.4,4.57,1648,991,2639
3000,0.2,0.55,3,168,2832,2832,576,2256,0.94,0.94,0.19,3.11,1632,366,1998
3000,0.2,0.55,4,171,2829,2829,817,2012,0.94,0.94,0.27,3.7,1629,607,2236
3000,0.2,0.55,5,150,2850,2850,978,1872,0.95,0.95,0.33,4.14,1650,768,2418
3000,0.2,0.55,6,187,2813,2813,1149,1664,0.94,0.94,0.38,4.63,1613,939,2552
3000,0.2,0.6,3,44,2956,2956,585,2371,0.99,0.99,0.2,3.05,1756,375,2131
3000,0.2,0.6,4,60,2940,2940,794,2146,0.98,0.98,0.26,3.65,1740,584,2324
3000,0.2,0.6,5,53,2947,2947,1073,1874,0.98,0.98,0.36,4.09,1747,863,2610
3000,0.2,0.6,6,45,2955,2955,1236,1719,0.98,0.98,0.41,4.63,1755,1026,2781
3000,0.25,0.3,3,2997,3,3,0,3,0.0,0.0,0.0,0,1197,210,1407
3000,0.25,0.3,4,2996,4,4,2,2,0.0,0.0,0.0,3.0,1196,208,1404
3000,0.25,0.3,5,2990,10,10,3,7,0.0,0.0,0.0,2.67,1190,207,1397
3000,0.25,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.25,0.35,3,2996,4,4,2,2,0.0,0.0,0.0,2.5,1196,208,1404
3000,0.25,0.35,4,2973,27,27,7,20,0.01,0.01,0.0,4.14,1173,203,1376
3000,0.25,0.35,5,2994,6,6,3,3,0.0,0.0,0.0,4.67,1194,207,1401
3000,0.25,0.35,6,2990,10,10,4,6,0.0,0.0,0.0,3.75,1190,206,1396
3000,0.25,0.4,3,524,2476,2476,560,1916,0.83,0.83,0.19,3.09,1276,350,1626
3000,0.25,0.4,4,508,2492,2492,781,1711,0.83,0.83,0.26,3.57,1292,571,1863
3000,0.25,0.4,5,523,2477,2477,976,1501,0.83,0.83,0.33,4.03,1277,766,2043
3000,0.25,0.4,6,515,2485,2485,1122,1363,0.83,0.83,0.37,4.49,1285,912,2197
3000,0.25,0.45,3,470,2530,2530,576,1954,0.84,0.84,0.19,3.04,1330,366,1696
3000,0.25,0.45,4,500,2500,2500,757,1743,0.83,0.83,0.25,3.56,1300,547,1847
3000,0.25,0.45,5,505,2495,2495,948,1547,0.83,0.83,0.32,4.01,1295,738,2033
3000,0.25,0.45,6,547,2453,2453,1084,1369,0.82,0.82,0.36,4.51,1253,874,2127
3000,0.25,0.5,3,502,2498,2498,563,1935,0.83,0.83,0.19,3.08,1298,353,1651
3000,0.25,0.5,4,519,2481,2481,782,1699,0.83,0.83,0.26,3.6,1281,572,1853
3000,0.25,0.5,5,494,2506,2506,994,1512,0.84,0.84,0.33,4.01,1306,784,2090
3000,0.25,0.5,6,533,2467,2467,1118,1349,0.82,0.82,0.37,4.59,1267,908,2175
3000,0.25,0.55,3,102,2898,2898,654,2244,0.97,0.97,0.22,3.07,1698,444,2142
3000,0.25,0.55,4,113,2887,2887,884,2003,0.96,0.96,0.29,3.57,1687,674,2361
3000,0.25,0.55,5,101,2899,2899,1140,1759,0.97,0.97,0.38,4.03,1699,930,2629
3000,0.25,0.55,6,93,2907,2907,1325,1582,0.97,0.97,0.44,4.6,1707,1115,2822
3000,0.25,0.6,3,91,2909,2909,672,2237,0.97,0.97,0.22,3.06,1709,462,2171
3000,0.25,0.6,4,100,2900,2900,935,1965,0.97,0.97,0.31,3.6,1700,725,2425
3000,0.25,0.6,5,109,2891,2891,1063,1828,0.96,0.96,0.35,4.08,1691,853,2544
3000,0.25,0.6,6,89,2911,2911,1342,1569,0.97,0.97,0.45,4.58,1711,1132,2843
3000,0.3,0.3,3,2726,274,274,76,198,0.09,0.09,0.03,3.01,926,134,1060
3000,0.3,0.3,4,2996,4,4,2,2,0.0,0.0,0.0,4.0,1196,208,1404
3000,0.3,0.3,5,2994,6,6,1,5,0.0,0.0,0.0,5.0,1194,209,1403
3000,0.3,0.3,6,2650,350,350,178,172,0.12,0.12,0.06,4.39,850,32,882
3000,0.3,0.35,3,2983,17,17,6,11,0.01,0.01,0.0,3.17,1183,204,1387
3000,0.3,0.35,4,2976,24,24,6,18,0.01,0.01,0.0,4.17,1176,204,1380
3000,0.3,0.35,5,2998,2,2,1,1,0.0,0.0,0.0,3.0,1198,209,1407
3000,0.3,0.35,6,2997,3,3,1,2,0.0,0.0,0.0,5.0,1197,209,1406
3000,0.3,0.4,3,2951,49,49,14,35,0.02,0.02,0.0,3.07,1151,196,1347
3000,0.3,0.4,4,2987,13,13,5,8,0.0,0.0,0.0,3.2,1187,205,1392
3000,0.3,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.3,0.4,6,2997,3,3,2,1,0.0,0.0,0.0,3.5,1197,208,1405
3000,0.3,0.45,3,2983,17,17,5,12,0.01,0.01,0.0,3.0,1183,205,1388
3000,0.3,0.45,4,2983,17,17,5,12,0.01,0.01,0.0,3.0,1183,205,1388
3000,0.3,0.45,5,2998,2,2,2,0,0.0,0.0,0.0,4.5,1198,208,1406
3000,0.3,0.45,6,2995,5,5,4,1,0.0,0.0,0.0,5.0,1195,206,1401
3000,0.3,0.5,3,376,2624,2624,654,1970,0.87,0.87,0.22,3.05,1424,444,1868
3000,0.3,0.5,4,336,2664,2664,911,1753,0.89,0.89,0.3,3.53,1464,701,2165
3000,0.3,0.5,5,355,2645,2645,1119,1526,0.88,0.88,0.37,3.99,1445,909,2354
3000,0.3,0.5,6,356,2644,2644,1278,1366,0.88,0.88,0.43,4.41,1444,1068,2512
3000,0.3,0.55,3,389,2611,2611,686,1925,0.87,0.87,0.23,3.06,1411,476,1887
3000,0.3,0.55,4,366,2634,2634,862,1772,0.88,0.88,0.29,3.55,1434,652,2086
3000,0.3,0.55,5,296,2704,2704,1117,1587,0.9,0.9,0.37,4.07,1504,907,2411
