N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered,contagious_percentage,ill_percentage,death_percentage,avg_iterations_to_die,diff_contage,diff_deaths,sum_of_diffs
3000,0.5,0.6,3,1253,1747,1747,540,1207,0.58,0.58,0.18,2.98,547,330,877
3000,0.5,0.6,4,2994,6,6,0,6,0.0,0.0,0.0,0,1194,210,1404
3000,0.5,0.6,5,1268,1732,1732,829,903,0.58,0.58,0.28,3.9,532,619,1151
3000,0.5,0.6,6,1261,1739,1739,930,809,0.58,0.58,0.31,4.27,539,720,1259
3000,0.55,0.3,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.55,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.55,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.55,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,6.0,1199,209,1408
3000,0.55,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.55,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.55,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.55,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.55,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.55,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.55,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.55,0.4,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.55,0.45,3,1122,1878,1878,616,1262,0.63,0.63,0.21,2.92,678,406,1084
3000,0.55,0.45,4,1016,1984,1984,830,1154,0.66,0.66,0.28,3.46,784,620,1404
3000,0.55,0.45,5,1062,1938,1938,923,1015,0.65,0.65,0.31,3.7,738,713,1451
3000,0.55,0.45,6,1009,1991,1991,1123,868,0.66,0.66,0.37,4.2,791,913,1704
3000,0.55,0.5,3,1047,1953,1953,613,1340,0.65,0.65,0.2,2.94,753,403,1156
3000,0.55,0.5,4,1003,1997,1997,842,1155,0.67,0.67,0.28,3.41,797,632,1429
3000,0.55,0.5,5,1074,1926,1926,954,972,0.64,0.64,0.32,3.8,726,744,1470
3000,0.55,0.5,6,1039,1961,1961,1079,882,0.65,0.65,0.36,4.18,761,869,1630
3000,0.55,0.55,3,2984,16,16,8,8,0.01,0.01,0.0,3.25,1184,202,1386
3000,0.55,0.55,4,2984,16,16,11,5,0.01,0.01,0.0,3.82,1184,199,1383
3000,0.55,0.55,5,1018,1982,1982,1053,929,0.66,0.66,0.35,3.82,782,843,1625
3000,0.55,0.55,6,2984,16,16,11,5,0.01,0.01,0.0,3.73,1184,199,1383
3000,0.55,0.6,3,1034,1966,1966,641,1325,0.66,0.66,0.21,2.98,766,431,1197
3000,0.55,0.6,4,1059,1941,1941,795,1146,0.65,0.65,0.27,3.45,741,585,1326
3000,0.55,0.6,5,1069,1931,1931,949,982,0.64,0.64,0.32,3.84,731,739,1470
3000,0.55,0.6,6,1003,1997,1997,1055,942,0.67,0.67,0.35,4.12,797,845,1642
3000,0.6,0.3,3,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.6,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.6,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.6,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.6,0.35,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.6,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.6,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.6,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.6,0.4,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.6,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.6,0.4,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.6,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.6,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.6,0.45,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.6,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.6,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.6,0.5,3,865,2135,2135,718,1417,0.71,0.71,0.24,2.95,935,508,1443
3000,0.6,0.5,4,874,2126,2126,884,1242,0.71,0.71,0.29,3.42,926,674,1600
3000,0.6,0.5,5,880,2120,2120,1052,1068,0.71,0.71,0.35,3.83,920,842,1762
3000,0.6,0.5,6,842,2158,2158,1186,972,0.72,0.72,0.4,4.19,958,976,1934
3000,0.6,0.55,3,932,2068,2068,645,1423,0.69,0.69,0.21,2.96,868,435,1303
3000,0.6,0.55,4,852,2148,2148,890,1258,0.72,0.72,0.3,3.39,948,680,1628
3000,0.6,0.55,5,888,2112,2112,1075,1037,0.7,0.7,0.36,3.79,912,865,1777
3000,0.6,0.55,6,858,2142,2142,1194,948,0.71,0.71,0.4,4.18,942,984,1926
3000,0.6,0.6,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.6,0.6,4,865,2135,2135,867,1268,0.71,0.71,0.29,3.35,935,657,1592
3000,0.6,0.6,5,865,2135,2135,1032,1103,0.71,0.71,0.34,3.74,935,822,1757
3000,0.6,0.6,6,896,2104,2104,1169,935,0.7,0.7,0.39,4.17,904,959,1863
3000,0.65,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.65,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.65,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.65,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.65,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.65,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.65,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.65,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.45,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.65,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.65,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.65,0.5,3,808,2192,2192,808,1384,0.73,0.73,0.27,2.97,992,598,1590
3000,0.65,0.5,4,766,2234,2234,946,1288,0.74,0.74,0.32,3.4,1034,736,1770
3000,0.65,0.5,5,747,2253,2253,1112,1141,0.75,0.75,0.37,3.69,1053,902,1955
3000,0.65,0.5,6,814,2186,2186,1213,973,0.73,0.73,0.4,4.12,986,1003,1989
3000,0.65,0.55,3,749,2251,2251,752,1499,0.75,0.75,0.25,2.95,1051,542,1593
3000,0.65,0.55,4,761,2239,2239,995,1244,0.75,0.75,0.33,3.37,1039,785,1824
3000,0.65,0.55,5,778,2222,2222,1130,1092,0.74,0.74,0.38,3.76,1022,920,1942
3000,0.65,0.55,6,784,2216,2216,1264,952,0.74,0.74,0.42,4.11,1016,1054,2070
3000,0.65,0.6,3,847,2153,2153,762,1391,0.72,0.72,0.25,2.98,953,552,1505
3000,0.65,0.6,4,802,2198,2198,930,1268,0.73,0.73,0.31,3.32,998,720,1718
3000,0.65,0.6,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.65,0.6,6,749,2251,2251,1270,981,0.75,0.75,0.42,4.13,1051,1060,2111
3000,0.7,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.7,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.7,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.7,0.35,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.7,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.7,0.4,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.45,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.7,0.45,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.7,0.45,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.7,0.5,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.7,0.5,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.7,0.5,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.7,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.7,0.55,3,602,2398,2398,826,1572,0.8,0.8,0.28,2.95,1198,616,1814
3000,0.7,0.55,4,655,2345,2345,1018,1327,0.78,0.78,0.34,3.28,1145,808,1953
3000,0.7,0.55,5,728,2272,2272,1142,1130,0.76,0.76,0.38,3.72,1072,932,2004
3000,0.7,0.55,6,715,2285,2285,1311,974,0.76,0.76,0.44,4.11,1085,1101,2186
3000,0.7,0.6,3,645,2355,2355,803,1552,0.79,0.79,0.27,2.95,1155,593,1748
3000,0.7,0.6,4,724,2276,2276,995,1281,0.76,0.76,0.33,3.32,1076,785,1861
3000,0.7,0.6,5,666,2334,2334,1161,1173,0.78,0.78,0.39,3.78,1134,951,2085
3000,0.7,0.6,6,681,2319,2319,1312,1007,0.77,0.77,0.44,4.12,1119,1102,2221
3000,0.75,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.75,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.35,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,7.0,1199,209,1408
3000,0.75,0.4,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.75,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.75,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.75,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.45,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.75,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.5,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.75,0.5,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.75,0.55,3,613,2387,2387,861,1526,0.8,0.8,0.29,2.91,1187,651,1838
3000,0.75,0.55,4,587,2413,2413,1080,1333,0.8,0.8,0.36,3.34,1213,870,2083
3000,0.75,0.55,5,2995,5,5,2,3,0.0,0.0,0.0,3.0,1195,208,1403
3000,0.75,0.55,6,583,2417,2417,1374,1043,0.81,0.81,0.46,3.97,1217,1164,2381
3000,0.75,0.6,3,565,2435,2435,851,1584,0.81,0.81,0.28,2.92,1235,641,1876
3000,0.75,0.6,4,629,2371,2371,1042,1329,0.79,0.79,0.35,3.3,1171,832,2003
3000,0.75,0.6,5,595,2405,2405,1203,1202,0.8,0.8,0.4,3.81,1205,993,2198
3000,0.75,0.6,6,647,2353,2353,1356,997,0.78,0.78,0.45,4.06,1153,1146,2299
3000,0.8,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.8,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.8,0.4,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.8,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.4,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.45,3,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.8,0.45,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.8,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.5,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.8,0.55,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.55,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.8,0.55,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.8,0.55,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.8,0.6,3,549,2451,2451,830,1621,0.82,0.82,0.28,2.91,1251,620,1871
3000,0.8,0.6,4,574,2426,2426,1084,1342,0.81,0.81,0.36,3.32,1226,874,2100
3000,0.8,0.6,5,554,2446,2446,1265,1181,0.82,0.82,0.42,3.65,1246,1055,2301
3000,0.8,0.6,6,551,2449,2449,1372,1077,0.82,0.82,0.46,4.03,1249,1162,2411
3000,0.85,0.3,3,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.85,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.85,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.85,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.85,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.45,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.85,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.5,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.85,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.55,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.55,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.85,0.55,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.85,0.55,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.85,0.6,3,489,2511,2511,959,1552,0.84,0.84,0.32,2.89,1311,749,2060
3000,0.85,0.6,4,475,2525,2525,1201,1324,0.84,0.84,0.4,3.33,1325,991,2316
3000,0.85,0.6,5,475,2525,2525,1293,1232,0.84,0.84,0.43,3.71,1325,1083,2408
3000,0.85,0.6,6,469,2531,2531,1495,1036,0.84,0.84,0.5,4.05,1331,1285,2616
3000,0.9,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.3,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,3.0,1199,209,1408
3000,0.9,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.9,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,6.0,1199,209,1408
3000,0.9,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,7.0,1199,209,1408
3000,0.9,0.45,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.9,0.45,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.9,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.9,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.5,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.9,0.55,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.55,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.55,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.9,0.55,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.9,0.6,3,422,2578,2578,942,1636,0.86,0.86,0.31,2.91,1378,732,2110
3000,0.9,0.6,4,411,2589,2589,1163,1426,0.86,0.86,0.39,3.34,1389,953,2342
3000,0.9,0.6,5,416,2584,2584,1355,1229,0.86,0.86,0.45,3.68,1384,1145,2529
3000,0.9,0.6,6,406,2594,2594,1498,1096,0.86,0.86,0.5,4.01,1394,1288,2682
3000,0.95,0.3,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.4,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.4,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.4,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.45,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.95,0.45,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.5,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.5,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.55,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.55,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.55,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.55,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.6,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.95,0.6,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.95,0.6,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.95,0.6,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.99,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.35,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.4,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.4,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.4,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.4,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.45,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.45,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.45,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.45,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.5,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.5,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.99,0.5,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.55,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.55,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.55,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.55,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.99,0.6,3,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.6,4,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.99,0.6,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.99,0.6,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
